n,k,sort,merge,total
100000,1,0.0141,0.0000,0.0141
100000,1,0.0129,0.0000,0.0129
100000,1,0.0129,0.0000,0.0129
100000,1,0.0129,0.0000,0.0129
100000,1,0.0129,0.0000,0.0129
100000,2,0.0061,0.0012,0.0074
100000,2,0.0062,0.0012,0.0074
100000,2,0.0062,0.0012,0.0074
100000,2,0.0062,0.0012,0.0074
100000,2,0.0061,0.0012,0.0074
100000,4,0.0029,0.0019,0.0048
100000,4,0.0054,0.0019,0.0073
100000,4,0.0058,0.0019,0.0077
100000,4,0.0029,0.0019,0.0048
100000,4,0.0040,0.0019,0.0059
100000,8,0.0054,0.0026,0.0080
100000,8,0.0036,0.0025,0.0061
100000,8,0.0042,0.0026,0.0068
100000,8,0.0040,0.0026,0.0066
100000,8,0.0029,0.0023,0.0052
100000,16,0.0035,0.0032,0.0066
100000,16,0.0042,0.0029,0.0071
100000,16,0.0050,0.0029,0.0079
100000,16,0.0039,0.0027,0.0066
100000,16,0.0038,0.0032,0.0069
100000,32,0.0033,0.0035,0.0068
100000,32,0.0034,0.0038,0.0072
100000,32,0.0032,0.0037,0.0069
100000,32,0.0038,0.0034,0.0073
100000,32,0.0032,0.0035,0.0068
1000000,1,0.1534,0.0000,0.1534
1000000,1,0.1533,0.0000,0.1533
1000000,1,0.1538,0.0000,0.1538
1000000,1,0.1534,0.0000,0.1534
1000000,1,0.1531,0.0000,0.1531
1000000,2,0.0764,0.0115,0.0880
1000000,2,0.0730,0.0116,0.0846
1000000,2,0.0729,0.0116,0.0845
1000000,2,0.0730,0.0115,0.0845
1000000,2,0.0730,0.0115,0.0846
1000000,4,0.0440,0.0174,0.0614
1000000,4,0.0355,0.0174,0.0529
1000000,4,0.0355,0.0174,0.0529
1000000,4,0.0355,0.0174,0.0528
1000000,4,0.0499,0.0178,0.0678
1000000,8,0.0420,0.0204,0.0624
1000000,8,0.0386,0.0204,0.0589
1000000,8,0.0376,0.0204,0.0580
1000000,8,0.0346,0.0204,0.0550
1000000,8,0.0355,0.0204,0.0559
1000000,16,0.0384,0.0278,0.0662
1000000,16,0.0336,0.0248,0.0584
1000000,16,0.0375,0.0265,0.0640
1000000,16,0.0379,0.0251,0.0629
1000000,16,0.0352,0.0247,0.0600
1000000,32,0.0435,0.0288,0.0723
1000000,32,0.0297,0.0320,0.0617
1000000,32,0.0295,0.0279,0.0574
1000000,32,0.0353,0.0283,0.0636
1000000,32,0.0330,0.0280,0.0611
10000000,1,1.7899,0.0000,1.7899
10000000,1,1.7888,0.0000,1.7888
10000000,1,1.7860,0.0000,1.7860
10000000,1,1.7878,0.0000,1.7878
10000000,1,1.7892,0.0000,1.7892
10000000,2,0.8627,0.1151,0.9778
10000000,2,0.8607,0.1151,0.9758
10000000,2,0.8603,0.1151,0.9754
10000000,2,0.8587,0.1152,0.9739
10000000,2,0.8624,0.1151,0.9775
10000000,4,0.4253,0.1728,0.5981
10000000,4,0.4245,0.1728,0.5973
10000000,4,0.4152,0.1728,0.5881
10000000,4,0.4387,0.1729,0.6116
10000000,4,0.4184,0.1728,0.5913
10000000,8,0.4033,0.2032,0.6065
10000000,8,0.4055,0.2018,0.6073
10000000,8,0.4180,0.2086,0.6266
10000000,8,0.4228,0.2020,0.6249
10000000,8,0.4058,0.2039,0.6097
10000000,16,0.3864,0.2318,0.6181
10000000,16,0.3853,0.2340,0.6193
10000000,16,0.3938,0.2474,0.6412
10000000,16,0.3795,0.2372,0.6167
10000000,16,0.3818,0.2324,0.6143
10000000,32,0.3596,0.2631,0.6227
10000000,32,0.3674,0.2719,0.6393
10000000,32,0.3791,0.2655,0.6445
10000000,32,0.3583,0.2770,0.6354
10000000,32,0.3639,0.2714,0.6353
